Number of sites: 278214	Number of sequences: 259
col 1 name	col2 weight	fraction thats actg	fractionof seq thats actg-
Europe_Italy_KJ361959.1_Human_herpesvirus_5_strain_PAV1_complete_genome	0.2198	0.9904	1.0000
Europe_Italy_KJ361960.1_Human_herpesvirus_5_strain_PAV4_complete_genome	0.2256	0.9877	1.0000
Europe_Italy_KJ361961.1_Human_herpesvirus_5_strain_PAV5_complete_genome	0.2220	0.9886	1.0000
Europe_Italy_KJ361962.1_Human_herpesvirus_5_strain_PAV6_complete_genome	0.2187	0.9904	1.0000
Europe_Italy_KJ361963.1_Human_herpesvirus_5_strain_PAV7_complete_genome	0.2364	0.9884	1.0000
Europe_Italy_KJ361964.1_Human_herpesvirus_5_strain_PAV8_complete_genome	0.2197	0.9896	1.0000
Europe_Italy_KJ361965.1_Human_herpesvirus_5_strain_PAV11_complete_genome	0.2226	0.9929	1.0000
Europe_Italy_KJ361966.1_Human_herpesvirus_5_strain_PAV12_complete_genome	0.2290	0.9903	1.0000
Europe_Italy_KJ361967.1_Human_herpesvirus_5_strain_PAV23_complete_genome	0.2177	0.9914	1.0000
Europe_Italy_KJ361968.1_Human_herpesvirus_5_strain_PAV24_complete_genome	0.2303	0.9884	1.0000
Europe_Italy_KJ361969.1_Human_herpesvirus_5_strain_PAV25_complete_genome	0.2204	0.9900	1.0000
Europe_Italy_KJ361970.1_Human_herpesvirus_5_strain_PAV26_complete_genome	0.2272	0.9892	1.0000
Europe_France_KT959235.1_Human_herpesvirus_5_strain_DB_complete_genome	0.2259	0.9894	1.0000
Oceania_Australia_KT634296.1_Human_herpesvirus_5_strain_UKNEQAS2_complete_genome	0.2198	0.9875	1.0000
Europe_Belgium_KP745633.1_Human_herpesvirus_5_strain_BE/45/2011_complete_genome	0.2543	0.9891	1.0000
Europe_Belgium_KP745634.1_Human_herpesvirus_5_strain_BE/32/2010_complete_genome	0.2406	0.9890	1.0000
Europe_Belgium_KP745635.1_Human_herpesvirus_5_strain_BE/5/2012_complete_genome	0.2114	0.9889	1.0000
Europe_Belgium_KP745636.1_Human_herpesvirus_5_strain_BE/7/2011_complete_genome	0.2147	0.9913	1.0000
Europe_Belgium_KP745637.1_Human_herpesvirus_5_strain_BE/9/2011_complete_genome	0.2192	0.9902	1.0000
Europe_Belgium_KP745638.1_Human_herpesvirus_5_strain_BE/15/2010_complete_genome	0.2255	0.9891	1.0000
Europe_Belgium_KP745639.1_Human_herpesvirus_5_strain_BE/10/2011_complete_genome	0.2194	0.9885	1.0000
Europe_Belgium_KP745640.1_Human_herpesvirus_5_strain_BE/22/2010_complete_genome	0.2318	0.9901	1.0000
Europe_Belgium_KP745641.1_Human_herpesvirus_5_strain_BE/31/2011_complete_genome	0.2230	0.9904	1.0000
Europe_Czech_Republic_KP745642.1_Human_herpesvirus_5_strain_CZ/1/2012_complete_genome	0.2152	0.9888	1.0000
Europe_Czech_Republic_KP745643.1_Human_herpesvirus_5_strain_CZ/2/2012_complete_genome	0.2270	0.9894	1.0000
Europe_Belgium_KP745644.1_Human_herpesvirus_5_strain_BE/31/2010_complete_genome	0.2157	0.9925	1.0000
Europe_Belgium_KP745645.1_Human_herpesvirus_5_strain_BE/13/2010_complete_genome	0.2671	0.9887	1.0000
Europe_Belgium_KP745646.1_Human_herpesvirus_5_strain_BE/8/2012_complete_genome	0.2189	0.9903	1.0000
Europe_Belgium_KP745647.1_Human_herpesvirus_5_strain_BE/18/2010_complete_genome	0.2170	0.9908	1.0000
Europe_Belgium_KP745648.1_Human_herpesvirus_5_strain_BE/8/2011_complete_genome	0.2344	0.9878	1.0000
Europe_Belgium_KP745649.1_Human_herpesvirus_5_strain_BE/10/2012_complete_genome	0.2174	0.9872	1.0000
Europe_Belgium_KP745650.1_Human_herpesvirus_5_strain_BE/1/2011_complete_genome	0.2133	0.9915	1.0000
Europe_Belgium_KP745651.1_Human_herpesvirus_5_strain_BE/9/2012_complete_genome	0.2131	0.9915	1.0000
Europe_Belgium_KP745652.1_Human_herpesvirus_5_strain_BE/2/2011_complete_genome	0.2229	0.9911	1.0000
Europe_Belgium_KP745653.1_Human_herpesvirus_5_strain_BE/22/2011_complete_genome	0.2201	0.9906	1.0000
Europe_Belgium_KP745654.1_Human_herpesvirus_5_strain_BE/19/2011_complete_genome	0.2201	0.9893	1.0000
Europe_Belgium_KP745655.1_Human_herpesvirus_5_strain_BE/3/2010_complete_genome	0.2197	0.9922	1.0000
Europe_Belgium_KP745656.1_Human_herpesvirus_5_strain_BE/2/2013_complete_genome	0.2404	0.9880	1.0000
Europe_Belgium_KP745657.1_Human_herpesvirus_5_strain_BE/13/2011_complete_genome	0.2295	0.9907	1.0000
Europe_Belgium_KP745658.1_Human_herpesvirus_5_strain_BE/14/2012_complete_genome	0.2179	0.9876	1.0000
Europe_Belgium_KP745659.1_Human_herpesvirus_5_strain_BE/3/2011_complete_genome	0.2171	0.9909	1.0000
Europe_Belgium_KP745660.1_Human_herpesvirus_5_strain_BE/6/2011_complete_genome	0.2182	0.9890	1.0000
Europe_Belgium_KP745661.1_Human_herpesvirus_5_strain_BE/33/2010_complete_genome	0.2504	0.9882	1.0000
Europe_Belgium_KP745662.1_Human_herpesvirus_5_strain_BE/20/2010_complete_genome	0.2174	0.9901	1.0000
Europe_Belgium_KP745663.1_Human_herpesvirus_5_strain_BE/5/2010_complete_genome	0.2264	0.9882	1.0000
Europe_Czech_Republic_KP745664.1_Human_herpesvirus_5_strain_CZ/2/2013_complete_genome	0.2162	0.9882	1.0000
Europe_Belgium_KP745665.1_Human_herpesvirus_5_strain_BE/16/2012_complete_genome	0.2103	0.9918	1.0000
Europe_Belgium_KP745666.1_Human_herpesvirus_5_strain_BE/7/2012_complete_genome	0.2092	0.9924	1.0000
Europe_Belgium_KP745667.1_Human_herpesvirus_5_strain_BE/5/2011_complete_genome	0.2249	0.9897	1.0000
Europe_Belgium_KP745668.1_Human_herpesvirus_5_strain_BE/18/2011_complete_genome	0.2139	0.9903	1.0000
Europe_Belgium_KP745669.1_Human_herpesvirus_5_strain_BE/28/2011_complete_genome	0.2238	0.9915	1.0000
Europe_Belgium_KP745670.1_Human_herpesvirus_5_strain_BE/30/2011_complete_genome	0.2123	0.9898	1.0000
Europe_Belgium_KP745671.1_Human_herpesvirus_5_strain_BE/14/2011_complete_genome	0.2211	0.9897	1.0000
Europe_Belgium_KP745672.1_Human_herpesvirus_5_strain_BE/29/2011_complete_genome	0.2201	0.9914	1.0000
Europe_Belgium_KP745673.1_Human_herpesvirus_5_strain_BE/42/2011_complete_genome	0.2192	0.9887	1.0000
Europe_Belgium_KP745674.1_Human_herpesvirus_5_strain_BE/33/2011_complete_genome	0.2231	0.9876	1.0000
Europe_Belgium_KP745675.1_Human_herpesvirus_5_strain_BE/23/2011_complete_genome	0.2153	0.9903	1.0000
Europe_Belgium_KP745676.1_Human_herpesvirus_5_strain_BE/28/2010_complete_genome	0.2237	0.9907	1.0000
Europe_Belgium_KP745677.1_Human_herpesvirus_5_strain_BE/1/2010_complete_genome	0.2355	0.9899	1.0000
Europe_Belgium_KP745678.1_Human_herpesvirus_5_strain_BE/25/2010_complete_genome	0.2146	0.9918	1.0000
Europe_Belgium_KP745679.1_Human_herpesvirus_5_strain_BE/24/2010_complete_genome	0.2182	0.9896	1.0000
Europe_Belgium_KP745680.1_Human_herpesvirus_5_strain_BE/11/2012_complete_genome	0.2091	0.9917	1.0000
Europe_Belgium_KP745681.1_Human_herpesvirus_5_strain_BE/43/2011_complete_genome	0.2247	0.9868	1.0000
Europe_Belgium_KP745682.1_Human_herpesvirus_5_strain_BE/46/2011_complete_genome	0.2232	0.9928	1.0000
Europe_Belgium_KP745683.1_Human_herpesvirus_5_strain_BE/12/2011_complete_genome	0.2323	0.9879	1.0000
Europe_Belgium_KP745684.1_Human_herpesvirus_5_strain_BE/11/2011_complete_genome	0.2157	0.9868	1.0000
Europe_Czech_Republic_KP745685.1_Human_herpesvirus_5_strain_CZ/3/2012_complete_genome	0.2390	0.9861	1.0000
Europe_Belgium_KP745686.1_Human_herpesvirus_5_strain_BE/39/2011_complete_genome	0.2136	0.9921	1.0000
Europe_Belgium_KP745687.1_Human_herpesvirus_5_strain_BE/36/2011_complete_genome	0.2264	0.9853	1.0000
Europe_Belgium_KP745688.1_Human_herpesvirus_5_strain_BE/12/2012_complete_genome	0.2174	0.9895	1.0000
Europe_Belgium_KP745689.1_Human_herpesvirus_5_strain_BE/17/2011_complete_genome	0.2207	0.9902	1.0000
Europe_Belgium_KP745690.1_Human_herpesvirus_5_strain_BE/34/2011_complete_genome	0.2227	0.9897	1.0000
Europe_Czech_Republic_KP745691.1_Human_herpesvirus_5_strain_CZ/1/2013_complete_genome	0.2233	0.9891	1.0000
Europe_Belgium_KP745692.1_Human_herpesvirus_5_strain_BE/3/2012_complete_genome	0.2167	0.9915	1.0000
Europe_Belgium_KP745693.1_Human_herpesvirus_5_strain_BE/15/2012_complete_genome	0.2137	0.9901	1.0000
Europe_Belgium_KP745694.1_Human_herpesvirus_5_strain_BE/12/2010_complete_genome	0.2212	0.9889	1.0000
Europe_Belgium_KP745695.1_Human_herpesvirus_5_strain_BE/6/2012_complete_genome	0.2299	0.9879	1.0000
Europe_Belgium_KP745696.1_Human_herpesvirus_5_strain_BE/27/2011_complete_genome	0.2148	0.9892	1.0000
Europe_Belgium_KP745697.1_Human_herpesvirus_5_strain_BE/23/2010_complete_genome	0.2597	0.9910	1.0000
Europe_Belgium_KP745698.1_Human_herpesvirus_5_strain_BE/20/2011_complete_genome	0.2183	0.9893	1.0000
Europe_Belgium_KP745699.1_Human_herpesvirus_5_strain_BE/1/2012_complete_genome	0.2196	0.9880	1.0000
Europe_Belgium_KP745700.1_Human_herpesvirus_5_strain_BE/4/2011_complete_genome	0.2186	0.9916	1.0000
Europe_Belgium_KP745701.1_Human_herpesvirus_5_strain_BE/6/2010_complete_genome	0.2231	0.9893	1.0000
Europe_Belgium_KP745702.1_Human_herpesvirus_5_strain_BE/21/2011_complete_genome	0.2171	0.9913	1.0000
Europe_Belgium_KP745703.1_Human_herpesvirus_5_strain_BE/26/2011_complete_genome	0.2170	0.9878	1.0000
Europe_Belgium_KP745704.1_Human_herpesvirus_5_strain_BE/32/2011_complete_genome	0.2213	0.9906	1.0000
Europe_Belgium_KP745705.1_Human_herpesvirus_5_strain_BE/38/2011_complete_genome	0.2273	0.9904	1.0000
Europe_Belgium_KP745706.1_Human_herpesvirus_5_strain_BE/41/2011_complete_genome	0.2185	0.9890	1.0000
Europe_Belgium_KP745707.1_Human_herpesvirus_5_strain_BE/13/2012_complete_genome	0.2335	0.9882	1.0000
Europe_Belgium_KP745708.1_Human_herpesvirus_5_strain_BE/8/2010_complete_genome	0.2158	0.9919	1.0000
Europe_Belgium_KP745709.1_Human_herpesvirus_5_strain_BE/48/2011_complete_genome	0.2313	0.9910	1.0000
Europe_Belgium_KP745710.1_Human_herpesvirus_5_strain_BE/2/2012_complete_genome	0.2182	0.9909	1.0000
Europe_Belgium_KP745711.1_Human_herpesvirus_5_strain_BE/24/2011_complete_genome	0.2141	0.9912	1.0000
Europe_Belgium_KP745712.1_Human_herpesvirus_5_strain_BE/19/2010_complete_genome	0.2311	0.9894	1.0000
Europe_Belgium_KP745713.1_Human_herpesvirus_5_strain_BE/35/2011_complete_genome	0.2392	0.9906	1.0000
Europe_Belgium_KP745714.1_Human_herpesvirus_5_strain_BE/29/2010_complete_genome	0.2353	0.9881	1.0000
Europe_Belgium_KP745715.1_Human_herpesvirus_5_strain_BE/44/2011_complete_genome	0.2187	0.9895	1.0000
Europe_Belgium_KP745716.1_Human_herpesvirus_5_strain_BE/16/2010_complete_genome	0.2175	0.9901	1.0000
Europe_Belgium_KP745717.1_Human_herpesvirus_5_strain_BE/2/2010_complete_genome	0.2225	0.9889	1.0000
Europe_Czech_Republic_KP745718.1_Human_herpesvirus_5_strain_CZ/1/2011_complete_genome	0.2160	0.9877	1.0000
Europe_Belgium_KP745719.1_Human_herpesvirus_5_strain_BE/26/2010_complete_genome	0.2091	0.9918	1.0000
Europe_Belgium_KP745720.1_Human_herpesvirus_5_strain_BE/15/2011_complete_genome	0.2287	0.9883	1.0000
Europe_Belgium_KP745721.1_Human_herpesvirus_5_strain_BE/14/2010_complete_genome	0.2266	0.9863	1.0000
Europe_Belgium_KP745722.1_Human_herpesvirus_5_strain_BE/40/2011_complete_genome	0.2335	0.9904	1.0000
Europe_Belgium_KP745723.1_Human_herpesvirus_5_strain_BE/37/2011_complete_genome	0.2216	0.9869	1.0000
Europe_Belgium_KP745724.1_Human_herpesvirus_5_strain_BE/4/2012_complete_genome	0.2379	0.9871	1.0000
Europe_Belgium_KP745725.1_Human_herpesvirus_5_strain_BE/49/2011_complete_genome	0.2343	0.9892	1.0000
Europe_Belgium_KP745726.1_Human_herpesvirus_5_strain_BE/30/2010_complete_genome	0.2409	0.9902	1.0000
Europe_Belgium_KP745727.1_Human_herpesvirus_5_strain_BE/17/2010_complete_genome	0.2566	0.9895	1.0000
Europe_Belgium_KP745728.1_Human_herpesvirus_5_strain_BE/4/2010_complete_genome	0.2162	0.9925	1.0000
Europe_Italy_KJ872539.1_Human_herpesvirus_5_strain_PAV16_complete_genome	0.2280	0.9919	1.0000
Europe_Italy_KJ872540.1_Human_herpesvirus_5_strain_PAV18_complete_genome	0.2302	0.9868	1.0000
Europe_Italy_KJ872541.1_Human_herpesvirus_5_strain_PAV20_complete_genome	0.2411	0.9918	1.0000
Europe_Italy_KJ872542.1_Human_herpesvirus_5_strain_PAV21_complete_genome	0.2177	0.9913	1.0000
Europe_United_Kingdom_KJ361971.1_Human_herpesvirus_5_strain_UKNEQAS1_complete_genome	0.2433	0.9887	1.0000
Asia_China_KJ426589.1_Human_herpesvirus_5_isolate_HAN_complete_genome	0.2575	0.9878	1.0000
Europe_Belgium_KC519319.1_Human_herpesvirus_5_strain_BE/9/2010_complete_genome	0.2217	0.9907	1.0000
Europe_Belgium_KC519320.1_Human_herpesvirus_5_strain_BE/10/2010_complete_genome	0.2201	0.9894	1.0000
Europe_Belgium_KC519321.1_Human_herpesvirus_5_strain_BE/11/2010_complete_genome	0.2396	0.9880	1.0000
Europe_Belgium_KC519322.1_Human_herpesvirus_5_strain_BE/21/2010_complete_genome	0.2196	0.9884	1.0000
Europe_Belgium_KC519323.1_Human_herpesvirus_5_strain_BE/27/2010_complete_genome	0.2361	0.9873	1.0000
Europe_United_Kingdom_JX512197.1_Human_herpesvirus_5_strain_6397_complete_genome	0.7137	0.9812	1.0000
Americas_USA_JX512198.1_Human_herpesvirus_5_strain_Davis_complete_genome	0.4859	0.9650	1.0000
Europe_Germany_JX512199.1_Human_herpesvirus_5_strain_HAN1_complete_genome	0.2205	0.9880	1.0000
Europe_Germany_JX512200.1_Human_herpesvirus_5_strain_HAN2_complete_genome	0.3773	0.9799	1.0000
Europe_Germany_JX512201.1_Human_herpesvirus_5_strain_HAN3_complete_genome	0.2243	0.9899	1.0000
Europe_Germany_JX512202.1_Human_herpesvirus_5_strain_HAN8_complete_genome	0.2182	0.9873	1.0000
Europe_Germany_JX512203.1_Human_herpesvirus_5_strain_HAN12_complete_genome	0.2205	0.9902	1.0000
Europe_Germany_JX512204.1_Human_herpesvirus_5_strain_HAN16_complete_genome	0.2190	0.9885	1.0000
Europe_Germany_JX512205.1_Human_herpesvirus_5_strain_HAN19_complete_genome	0.2189	0.9903	1.0000
Europe_Germany_JX512206.1_Human_herpesvirus_5_strain_HAN22_complete_genome	0.2211	0.9921	1.0000
Europe_Germany_JX512207.1_Human_herpesvirus_5_strain_HAN28_complete_genome	0.2336	0.9913	1.0000
Europe_Germany_JX512208.1_Human_herpesvirus_5_strain_HAN31_complete_genome	0.2237	0.9909	1.0000
Europe_Germany_KF297339.1_Human_herpesvirus_5_strain_TB40/E_clone_Lisa_complete_genome	0.2789	0.9896	1.0000
Americas_USA_KF021605.1_Human_herpesvirus_5_strain_TR_complete_genome	0.2596	0.9896	1.0000
Asia_South_Korea_HQ380895.1_Human_herpesvirus_5_strain_JHC_complete_genome	0.2525	0.9884	1.0000
Americas_USA_GU937742.2_Human_herpesvirus_5_strain_Toledo_complete_genome	1.0000	0.9768	1.0000
Europe_Italy_GU179288.1_Human_herpesvirus_5_strain_U8_complete_genome	0.2149	0.9912	1.0000
Europe_Italy_GU179289.1_Human_herpesvirus_5_strain_VR1814_complete_genome	0.2166	0.9895	1.0000
Europe_United_Kingdom_GU179290.1_Human_herpesvirus_5_strain_U11_complete_genome	0.2176	0.9877	1.0000
Europe_Italy_GU179291.1_Human_herpesvirus_5_strain_AF1_complete_genome	0.2290	0.9888	1.0000
Europe_United_Kingdom_GQ466044.1_Human_herpesvirus_5_strain_3301_complete_genome	0.2223	0.9887	1.0000
Europe_Germany_GQ221973.1_Human_herpesvirus_5_strain_HAN13_complete_genome	0.2240	0.9907	1.0000
Europe_United_Kingdom_GQ221974.1_Human_herpesvirus_5_strain_3157_complete_genome	0.2318	0.9883	1.0000
Europe_United_Kingdom_GQ221975.1_Human_herpesvirus_5_strain_JP_complete_genome	0.2172	0.9924	1.0000
Europe_Germany_GQ396662.1_Human_herpesvirus_5_strain_HAN38_complete_genome	0.2451	0.9897	1.0000
Europe_Germany_GQ396663.1_Human_herpesvirus_5_strain_HAN20_complete_genome	0.2218	0.9912	1.0000
Americas_USA_FJ616285.1_Human_herpesvirus_5_strain_Towne_complete_genome	0.2682	0.9885	1.0000
Americas_USA_FJ527563.1_Human_herpesvirus_5_strain_AD169_complete_genome	0.4494	0.9750	1.0000
